Email,CompanyName,Name,Similar,Code,id,Similar,subcode,Number,Tell
aaa@test.co.jp,AGC株式会社,ＡＧＣ株式会社,0.5714285714285714,00004,4,0.5714285714285714,0000E,1000,03-2222
bbb@test.co.jp,DIC株式会社,ＡＧＣ株式会社,0.5714285714285714,00004,4,0.5714285714285714,0000E,1001,03-2223
ccc@test.co.jp,株式会社JALエンジニアリング,株式会社ＪＡＬエンジニアリング,0.8,00007,7,0.8,0000H,2002,03-2224
ddd@test.co.jp,ニプロ株式会社,ニプロ株式会社,1.0,00006,6,1.0,0000G,1003,03-2225
eee@test.co.jp,株式会社 神戸製鋼所,株式会社神戸製鋼所,0.9473684210526315,00003,3,0.9473684210526315,0000C,1004,03-2226
fff@test.co.jp,(株)神戸製鋼所,株式会社神戸製鋼所,0.7058823529411765,00003,3,0.7058823529411765,0000C,1006,03-2228
ggg@test.co.jp,神戸製鋼所　(株),株式会社神戸製鋼所,0.5555555555555556,00003,3,0.5555555555555556,0000C,1007,03-2222
hhh@test.co.jp,ニプロ 株,ニプロ株式会社,0.6666666666666666,00006,6,0.6666666666666666,0000G,1009,03-2222
iii@test.co.jp,ニプロ,ニプロ株式会社,0.6,00006,6,0.6,0000G,1010,03-2222
jjj@test.co.jp,JALエンジニアリング,株式会社ＪＡＬエンジニアリング,0.6153846153846154,00007,7,0.6153846153846154,0000H,1008,03-3132
kkk@test.co.jp,JAL,ビューテック株式会社,0.0,00001,1,0.0,0000A,1020,03-4142
nnn@test.co.jp,DIC,ビューテック株式会社,0.0,00001,1,0.0,0000A,3001,03-3666
mmm@test.co.jp,ＤＮＰデータテクノ,株式会社ＤＮＰデータテクノ,0.8181818181818182,00005,5,0.8181818181818182,0000F,3002,03-3623
ooo@test.co.jp,昭和電工株式会社,ＡＧＣ株式会社,0.5333333333333333,00004,4,0.5333333333333333,0000E,3002,03-3264
ppp@test.co.jp,ＪＮＣ株式会社,ＡＧＣ株式会社,0.7142857142857143,00004,4,0.7142857142857143,0000E,4002,03-2364
qqq@test.co.jp,JNC株式会社,ＡＧＣ株式会社,0.5714285714285714,00004,4,0.5714285714285714,0000E,5002,03-6436
rrr@test.co.jp,大同特殊鋼株式会社,ＡＧＣ株式会社,0.5,00004,4,0.5,0000E,6002,03-6324
