No.,Email,CompanyName,Name_1,Similar_1,Code_1,Name_2,Similar_2,Code_2,Name_3,Similar_3,Code_3
1,aaa@test.co.jp,AGC株式会社,ＡＧＣ株式会社,1.0,00004,ＤＩＣ株式会社,0.7142857142857143,00009,株式会社ＪＡＬエンジニアリング,0.09090909090909091,00007
2,bbb@test.co.jp,DIC株式会社,ＤＩＣ株式会社,1.0,00009,ＡＧＣ株式会社,0.7142857142857143,00004,株式会社ＤＮＰデータテクノ,0.1,00005
3,ccc@test.co.jp,株式会社JALエンジニアリング,株式会社ＪＡＬエンジニアリング,1.0,00007,株式会社ユアテック,0.4166666666666667,00008,株式会社神戸製鋼所,0.3333333333333333,00003
4,ddd@test.co.jp,ニプロ株式会社,ニプロ株式会社,1.0,00006,グローリー株式会社,0.125,00010,株式会社ＪＡＬエンジニアリング,0.09090909090909091,00007
5,eee@test.co.jp,株式会社 神戸製鋼所,株式会社神戸製鋼所,0.9473684210526315,00003,株式会社ユアテック,0.42105263157894735,00008,株式会社ＤＮＰデータテクノ,0.34782608695652173,00005
6,fff@test.co.jp,(株)神戸製鋼所,株式会社神戸製鋼所,0.5882352941176471,00003,ビューテック株式会社,0.0,00001,綜合警備保障株式会社,0.0,00002
7,ggg@test.co.jp,神戸製鋼所　(株),株式会社神戸製鋼所,0.5555555555555556,00003,ビューテック株式会社,0.0,00001,綜合警備保障株式会社,0.0,00002
8,hhh@test.co.jp,ニプロ 株,ニプロ株式会社,0.5,00006,グローリー株式会社,0.14285714285714285,00010,株式会社ＪＡＬエンジニアリング,0.1,00007
9,iii@test.co.jp,ニプロ,ニプロ株式会社,0.6,00006,グローリー株式会社,0.16666666666666666,00010,株式会社ＪＡＬエンジニアリング,0.1111111111111111,00007
10,jjj@test.co.jp,JALエンジニアリング,株式会社ＪＡＬエンジニアリング,0.8461538461538461,00007,ＡＧＣ株式会社,0.1111111111111111,00004,ニプロ株式会社,0.1111111111111111,00006
11,kkk@test.co.jp,JAL,株式会社ＪＡＬエンジニアリング,0.3333333333333333,00007,ＡＧＣ株式会社,0.2,00004,ビューテック株式会社,0.0,00001
12,nnn@test.co.jp,DIC,ＤＩＣ株式会社,0.6,00009,ＡＧＣ株式会社,0.2,00004,株式会社ＤＮＰデータテクノ,0.125,00005
13,mmm@test.co.jp,ＤＮＰデータテクノ,株式会社ＤＮＰデータテクノ,0.8181818181818182,00005,ビューテック株式会社,0.3157894736842105,00001,株式会社ユアテック,0.2222222222222222,00008
14,ooo@test.co.jp,昭和電工株式会社,ビューテック株式会社,0.0,00001,綜合警備保障株式会社,0.0,00002,株式会社神戸製鋼所,0.0,00003
15,ppp@test.co.jp,ＪＮＣ株式会社,ＡＧＣ株式会社,0.7142857142857143,00004,ＤＩＣ株式会社,0.7142857142857143,00009,株式会社ＤＮＰデータテクノ,0.1,00005
16,qqq@test.co.jp,JNC株式会社,ＡＧＣ株式会社,0.7142857142857143,00004,ＤＩＣ株式会社,0.7142857142857143,00009,株式会社ＤＮＰデータテクノ,0.1,00005
17,rrr@test.co.jp,大同特殊鋼株式会社,株式会社神戸製鋼所,0.1111111111111111,00003,ビューテック株式会社,0.0,00001,綜合警備保障株式会社,0.0,00002
