No.,CompanyName,Number,Email,Tell
1,AGC株式会社,1000,aaa@test.co.jp,03-2222
2,DIC株式会社,1001,bbb@test.co.jp,03-2223
3,株式会社JALエンジニアリング,2002,ccc@test.co.jp,03-2224
4,ニプロ株式会社,1003,ddd@test.co.jp,03-2225
5,株式会社 神戸製鋼所,1004,eee@test.co.jp,03-2226
6,(株)神戸製鋼所,1006,fff@test.co.jp,03-2228
7,神戸製鋼所　(株),1007,ggg@test.co.jp,03-2222
8,ニプロ 株,1009,hhh@test.co.jp,03-2222
9,ニプロ,1010,iii@test.co.jp,03-2222
10,JALエンジニアリング,1008,jjj@test.co.jp,03-3132
11,JAL,1020,kkk@test.co.jp,03-4142
12,DIC,3001,nnn@test.co.jp,03-3666
13,ＤＮＰデータテクノ,3002,mmm@test.co.jp,03-3623
14,昭和電工株式会社,3002,ooo@test.co.jp,03-3264
15,ＪＮＣ株式会社,4002,ppp@test.co.jp,03-2364
16,JNC株式会社,5002,qqq@test.co.jp,03-6436
17,大同特殊鋼株式会社,6002,rrr@test.co.jp,03-6324
